2018 - 2019  NFL Schedule,,,,,
,,,,,
, New England Patriots , Detroit Lions, New England Patriots @  Detroit Lions,8:20 PM,"Ford Field, Detroit"
"Monday, September 24, 2018", Pittsburgh Steelers , Tampa Bay Buccaneers, Pittsburgh Steelers @  Tampa Bay Buccaneers,8:15 PM,"Raymond James Stadium, Tampa"
,,,,,
WEEK 4:,,,,,
"Thursday, September 27, 2018", Minnesota Vikings , Los Angeles Rams, Minnesota Vikings @  Los Angeles Rams,8:20 PM,"Los Angeles Memorial Coliseum, Los Angeles"
"Sunday, September 30, 2018", Buffalo Bills , Green Bay Packers, Buffalo Bills @  Green Bay Packers,1:00 PM,"Lambeau Field, Green Bay"
, Cincinnati Bengals , Atlanta Falcons, Cincinnati Bengals @  Atlanta Falcons,1:00 PM,"Mercedes-Benz Stadium, Atlanta"
, Detroit Lions , Dallas Cowboys, Detroit Lions @  Dallas Cowboys,1:00 PM,"AT&T Stadium, Arlington"
, Houston Texans , Indianapolis Colts, Houston Texans @  Indianapolis Colts,1:00 PM,"Lucas Oil Stadium, Indianapolis"
, Miami Dolphins , New England Patriots, Miami Dolphins @  New England Patriots,1:00 PM,"Gillette Stadium, Foxboro"
, New York Jets , Jacksonville Jaguars, New York Jets @  Jacksonville Jaguars,1:00 PM,"TIAA Bank Field, Jacksonville"
, Philadelphia Eagles , Tennessee Titans, Philadelphia Eagles @  Tennessee Titans,1:00 PM,"Nissan Stadium, Nashville"
, Tampa Bay Buccaneers , Chicago Bears, Tampa Bay Buccaneers @  Chicago Bears,1:00 PM,"Soldier Field, Chicago"
, Cleveland Browns , Oakland Raiders, Cleveland Browns @  Oakland Raiders,4:05 PM,"Oakland Coliseum, Oakland"
, Seattle Seahawks , Arizona Cardinals, Seattle Seahawks @  Arizona Cardinals,4:05 PM,"U of Phoenix Stadium, Glendale"
, New Orleans Saints , New York Giants, New Orleans Saints @  New York Giants,4:25 PM,"MetLife Stadium, East Rutherford"
, San Francisco 49ers , Los Angeles Chargers, San Francisco 49ers @  Los Angeles Chargers,4:25 PM,"StubHub Center, Carson"
, Baltimore Ravens , Pittsburgh Steelers, Baltimore Ravens @  Pittsburgh Steelers,8:20 PM,"Heinz Field, Pittsburgh"
"Sunday, September 30, 2018", Kansas City Chiefs , Denver Broncos, Kansas City Chiefs @  Denver Broncos,8:15 PM,"Sports Authority Field at Mile High, Denver"
," Bye: Carolina, Washington",," Bye: Carolina, Washington",,
,,,,,
WEEK 5:,,,,,
"Thursday, October 4, 2018", Indianapolis Colts , New England Patriots, Indianapolis Colts @  New England Patriots,8:20 PM,"Gillette Stadium, Foxboro"
"Sunday, October 7, 2018", Atlanta Falcons , Pittsburgh Steelers, Atlanta Falcons @  Pittsburgh Steelers,1:00 PM,"Heinz Field, Pittsburgh"
, Baltimore Ravens , Cleveland Browns, Baltimore Ravens @  Cleveland Browns,1:00 PM,"FirstEnergy Stadium, Cleveland"
