2018 - 2019  NFL Schedule,,,,,
,,,,,
, Baltimore Ravens , Kansas City Chiefs, Baltimore Ravens @  Kansas City Chiefs,1:00 PM,"Arrowhead Stadium, Kansas City"
, Carolina Panthers , Cleveland Browns, Carolina Panthers @  Cleveland Browns,1:00 PM,"FirstEnergy Stadium, Cleveland"
, Indianapolis Colts , Houston Texans, Indianapolis Colts @  Houston Texans,1:00 PM,"NRG Stadium, Houston"
, Los Angeles Rams , Chicago Bears, Los Angeles Rams @  Chicago Bears,1:00 PM,"Soldier Field, Chicago"
, New England Patriots , Miami Dolphins, New England Patriots @  Miami Dolphins,1:00 PM,"Hard Rock Stadium, Miami Gardens"
, New Orleans Saints , Tampa Bay Buccaneers, New Orleans Saints @  Tampa Bay Buccaneers,1:00 PM,"Raymond James Stadium, Tampa"
, New York Giants , Washington Redskins, New York Giants @  Washington Redskins,1:00 PM,"FedEx Field, Landover"
, New York Jets , Buffalo Bills, New York Jets @  Buffalo Bills,1:00 PM,"New Era Field, Buffalo"
, Cincinnati Bengals , Los Angeles Chargers, Cincinnati Bengals @  Los Angeles Chargers,4:05 PM,"StubHub Center, Carson"
, Denver Broncos , San Francisco 49ers, Denver Broncos @  San Francisco 49ers,4:05 PM,"Levi's Stadium, Santa Clara"
, Detroit Lions , Arizona Cardinals, Detroit Lions @  Arizona Cardinals,4:25 PM,"U of Phoenix Stadium, Glendale"
, Philadelphia Eagles , Dallas Cowboys, Philadelphia Eagles @  Dallas Cowboys,4:25 PM,"AT&T Stadium, Arlington"
, Pittsburgh Steelers , Oakland Raiders, Pittsburgh Steelers @  Oakland Raiders,8:20 PM,"Oakland Coliseum, Oakland"
"Monday, December 10, 2018", Minnesota Vikings , Seattle Seahawks, Minnesota Vikings @  Seattle Seahawks,8:15 PM,"CenturyLink Field, Seattle"
,,,,,
WEEK 15:,,,,,
"Thursday, December 13, 2018", Los Angeles Chargers , Kansas City Chiefs, Los Angeles Chargers @  Kansas City Chiefs,8:20 PM,"Arrowhead Stadium, Kansas City"
"Saturday, December 15, 2018", Cleveland Browns , Denver Broncos, Cleveland Browns @  Denver Broncos,4:30 PM,"Sports Authority Field at Mile High, Denver"
, Houston Texans , New York Jets, Houston Texans @  New York Jets,4:30 PM,"MetLife Stadium, East Rutherford"
"Sunday, December 16, 2018", Arizona Cardinals , Atlanta Falcons, Arizona Cardinals @  Atlanta Falcons,1:00 PM,"Mercedes-Benz Stadium, Atlanta"
, Dallas Cowboys , Indianapolis Colts, Dallas Cowboys @  Indianapolis Colts,1:00 PM,"Lucas Oil Stadium, Indianapolis"
, Detroit Lions , Buffalo Bills, Detroit Lions @  Buffalo Bills,1:00 PM,"New Era Field, Buffalo"
, Green Bay Packers , Chicago Bears, Green Bay Packers @  Chicago Bears,1:00 PM,"Soldier Field, Chicago"
, Miami Dolphins , Minnesota Vikings, Miami Dolphins @  Minnesota Vikings,1:00 PM,"U.S. Bank Stadium, Minneapolis"
, Oakland Raiders , Cincinnati Bengals, Oakland Raiders @  Cincinnati Bengals,1:00 PM,"Paul Brown Stadium, Cincinnati"
, Tampa Bay Buccaneers , Baltimore Ravens, Tampa Bay Buccaneers @  Baltimore Ravens,1:00 PM,"M&T Bank Stadium, Baltimore"
, Tennessee Titans , New York Giants, Tennessee Titans @  New York Giants,1:00 PM,"MetLife Stadium, East Rutherford"
, Washington Redskins , Jacksonville Jaguars, Washington Redskins @  Jacksonville Jaguars,1:00 PM,"TIAA Bank Field, Jacksonville"
, Seattle Seahawks , San Francisco 49ers, Seattle Seahawks @  San Francisco 49ers,4:05 PM,"Levi's Stadium, Santa Clara"
, New England Patriots , Pittsburgh Steelers, New England Patriots @  Pittsburgh Steelers,4:25 PM,"Heinz Field, Pittsburgh"
, Philadelphia Eagles , Los Angeles Rams, Philadelphia Eagles @  Los Angeles Rams,8:20 PM,"Los Angeles Memorial Coliseum, Los Angeles"
"Monday, December 17, 2018", New Orleans Saints , Carolina Panthers, New Orleans Saints @  Carolina Panthers,8:15 PM,"Bank of America Stadium, Charlotte"
,,,,,
WEEK 16:,,,,,
"Sunday, December 23, 2018", Atlanta Falcons , Carolina Panthers, Atlanta Falcons @  Carolina Panthers,1:00 PM,"Bank of America Stadium, Charlotte"
, Buffalo Bills , New England Patriots, Buffalo Bills @  New England Patriots,1:00 PM,"Gillette Stadium, Foxboro"
, Cincinnati Bengals , Cleveland Browns, Cincinnati Bengals @  Cleveland Browns,1:00 PM,"FirstEnergy Stadium, Cleveland"
, Green Bay Packers , New York Jets, Green Bay Packers @  New York Jets,1:00 PM,"MetLife Stadium, East Rutherford"
, Houston Texans , Philadelphia Eagles, Houston Texans @  Philadelphia Eagles,1:00 PM,"Lincoln Financial Field, Philadelphia"
, Jacksonville Jaguars , Miami Dolphins, Jacksonville Jaguars @  Miami Dolphins,1:00 PM,"Hard Rock Stadium, Miami Gardens"
, Minnesota Vikings , Detroit Lions, Minnesota Vikings @  Detroit Lions,1:00 PM,"Ford Field, Detroit"
, New York Giants , Indianapolis Colts, New York Giants @  Indianapolis Colts,1:00 PM,"Lucas Oil Stadium, Indianapolis"
, Tampa Bay Buccaneers , Dallas Cowboys, Tampa Bay Buccaneers @  Dallas Cowboys,1:00 PM,"AT&T Stadium, Arlington"
, Washington Redskins , Tennessee Titans, Washington Redskins @  Tennessee Titans,1:00 PM,"Nissan Stadium, Nashville"
, Baltimore Ravens , Los Angeles Chargers, Baltimore Ravens @  Los Angeles Chargers,4:05 PM,"StubHub Center, Carson"
, Chicago Bears , San Francisco 49ers, Chicago Bears @  San Francisco 49ers,4:05 PM,"Levi's Stadium, Santa Clara"
, Los Angeles Rams , Arizona Cardinals, Los Angeles Rams @  Arizona Cardinals,4:05 PM,"U of Phoenix Stadium, Glendale"
, Pittsburgh Steelers , New Orleans Saints, Pittsburgh Steelers @  New Orleans Saints,4:25 PM,"Mercedes-Benz Superdome, New Orleans"
, Kansas City Chiefs , Seattle Seahawks, Kansas City Chiefs @  Seattle Seahawks,8:20 PM,"CenturyLink Field, Seattle"
"Monday, December 24, 2018", Denver Broncos , Oakland Raiders, Denver Broncos @  Oakland Raiders,8:15 PM,"Oakland Coliseum, Oakland"
,,,,,
WEEK 17:,,,,,
"Sunday, December 30, 2018", Atlanta Falcons , Tampa Bay Buccaneers, Atlanta Falcons @  Tampa Bay Buccaneers,1:00 PM,"Raymond James Stadium, Tampa"
, Carolina Panthers , New Orleans Saints, Carolina Panthers @  New Orleans Saints,1:00 PM,"Mercedes-Benz Superdome, New Orleans"
, Chicago Bears , Minnesota Vikings, Chicago Bears @  Minnesota Vikings,1:00 PM,"U.S. Bank Stadium, Minneapolis"
, Cincinnati Bengals , Pittsburgh Steelers, Cincinnati Bengals @  Pittsburgh Steelers,1:00 PM,"Heinz Field, Pittsburgh"
, Cleveland Browns , Baltimore Ravens, Cleveland Browns @  Baltimore Ravens,1:00 PM,"M&T Bank Stadium, Baltimore"
, Dallas Cowboys , New York Giants, Dallas Cowboys @  New York Giants,1:00 PM,"MetLife Stadium, East Rutherford"
, Detroit Lions , Green Bay Packers, Detroit Lions @  Green Bay Packers,1:00 PM,"Lambeau Field, Green Bay"
, Indianapolis Colts , Tennessee Titans, Indianapolis Colts @  Tennessee Titans,1:00 PM,"Nissan Stadium, Nashville"
, Jacksonville Jaguars , Houston Texans, Jacksonville Jaguars @  Houston Texans,1:00 PM,"NRG Stadium, Houston"
, Miami Dolphins , Buffalo Bills, Miami Dolphins @  Buffalo Bills,1:00 PM,"New Era Field, Buffalo"
, New York Jets , New England Patriots, New York Jets @  New England Patriots,1:00 PM,"Gillette Stadium, Foxboro"
, Oakland Raiders , Kansas City Chiefs, Oakland Raiders @  Kansas City Chiefs,1:00 PM,"Arrowhead Stadium, Kansas City"
, Philadelphia Eagles , Washington Redskins, Philadelphia Eagles @  Washington Redskins,1:00 PM,"FedEx Field, Landover"
, Arizona Cardinals , Seattle Seahawks, Arizona Cardinals @  Seattle Seahawks,4:25 PM,"CenturyLink Field, Seattle"
, Los Angeles Chargers , Denver Broncos, Los Angeles Chargers @  Denver Broncos,4:25 PM,"Sports Authority Field at Mile High, Denver"
, San Francisco 49ers , Los Angeles Rams, San Francisco 49ers @  Los Angeles Rams,4:25 PM,"Los Angeles Memorial Coliseum, Los Angeles"
